Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P10599,P10599, Thioredoxin,TXN,"{'12': [8357500000.0, 11676000000.0, 7306200000.0], '21': [5599200000.0, 5985900000.0, 4589000000.0], '25': [2635900000.0, 3804800000.0, 2274100000.0], '27': [1881200000.0, 1516500000.0, 2133400000.0], '31': [3221100000.0, 3991300000.0, 2747200000.0], '32': [2770600000.0, 3375100000.0, 2724000000.0], '33': [1596200000.0, 3155400000.0, 2922000000.0], '39': [2322700000.0, 1198300000.0, 1481100000.0], '89': [4083900000.0, 1744400000.0, 3621300000.0], '90': [3686900000.0, 4158500000.0, 2243900000.0], '103': [2635900000.0, 2355400000.0, 1545600000.0], '99': [904390000.0, 1606200000.0, 1127000000.0], '73': [2790500000.0, 3925000000.0, 2866200000.0], '92': [3321600000.0, 2634000000.0, 3016200000.0], '54': [1904500000.0, 1366100000.0, 2459100000.0], '104': [1467700000.0, 2027200000.0, 1665200000.0]}","{'12': 0.20434913363787918, '21': 0.10923266756180697, '25': 0.22486579318625868, '27': 0.13735447864158257, '31': 0.1544281177560813, '32': 0.10030506047359074, '33': 0.26844420548841125, '39': 0.28641359678051204, '89': 0.3211564786142994, '90': 0.2421803003508223, '103': 0.21214927692120045, '99': 0.2415002437879389, '73': 0.1621493101639183, '92': 0.09405957957912003, '54': 0.23364140456557045, '104': 0.13469644400394884}",0.1954328807195588,16
P20073,P20073, Annexin A7,ANXA7,"{'12': [1624100000.0, 1020300000.0, 934100000.0], '21': [1452000000.0, 1462500000.0, 1545900000.0], '25': [544010000.0, 896250000.0, 981030000.0], '27': [376060000.0, 130190000.0, 317580000.0], '31': [594630000.0, 615340000.0, 321910000.0], '32': [658990000.0, 581800000.0, 490000000.0], '33': [356190000.0, 644770000.0, 508920000.0], '39': [533630000.0, 498910000.0, 489540000.0], '89': [740210000.0, 696750000.0, 522520000.0], '90': [344610000.0, 734920000.0, 306940000.0], '103': [460810000.0, 422330000.0, 460990000.0], '99': [89707000.0, 200570000.0, 185980000.0], '73': [456230000.0, 519940000.0, 507160000.0], '92': [418770000.0, 712150000.0, 629230000.0], '54': [155080000.0, 274310000.0, 351040000.0], '104': [296920000.0, 369820000.0, 330890000.0]}","{'12': 0.25734975523210185, '21': 0.028254832316404743, '25': 0.23444864751630004, '27': 0.38190156061204633, '31': 0.26185552042930904, '32': 0.11972989538488805, '33': 0.23421620461278778, '39': 0.037380707290576874, '89': 0.14401505234082845, '90': 0.4186566072987995, '103': 0.04058138914590328, '99': 0.30981855624513355, '73': 0.05565856755648621, '92': 0.21047096751135916, '54': 0.30992554068358197, '104': 0.08956502956988431}",0.1958643021091494,16
P06396;REV__Q6TDU7,P06396, Gelsolin,GSN,"{'12': [10297000000.0, 17963000000.0, 11728000000.0], '21': [6364100000.0, 12732000000.0, 12075000000.0], '25': [18248000000.0, 13955000000.0, 15398000000.0], '27': [7434900000.0, 2657400000.0, 14193000000.0], '31': [3261700000.0, 3518900000.0, 3521500000.0], '32': [3501900000.0, 3347000000.0, 3619900000.0], '33': [3524300000.0, 6220500000.0, 3965100000.0], '39': [4713200000.0, 5319200000.0, 4650300000.0], '89': [8283200000.0, 6009100000.0, 5214200000.0], '90': [4751600000.0, 7471600000.0, 2376300000.0], '103': [7282600000.0, 8571900000.0, 5197500000.0], '99': [2142100000.0, 4258900000.0, 4013100000.0], '73': [8626200000.0, 12792000000.0, 11673000000.0], '92': [7715500000.0, 6804300000.0, 6162700000.0], '54': [3847400000.0, 4530300000.0, 4003500000.0], '104': [6817300000.0, 5246500000.0, 5599900000.0]}","{'12': 0.24968778410799472, '21': 0.27521715607261776, '25': 0.11241634702540249, '27': 0.5846092638880366, '31': 0.03548675262361469, '32': 0.032023707346779805, '33': 0.25840353212387174, '39': 0.06162190914674877, '89': 0.2000132460214827, '90': 0.4277681243715162, '103': 0.19812429190510605, '99': 0.27230625308813583, '73': 0.15958948490704913, '92': 0.09241216917194328, '54': 0.07079215190584275, '104': 0.11427425289563128}",0.1965466516626108,16
P62937;A0A0B4J2A2;A0A075B767;Q9Y536;P0DN37,P62937, Peptidyl-prolyl cis-trans isomerase A,PPIA,"{'12': [37979000000.0, 53902000000.0, 29651000000.0], '21': [19798000000.0, 18699000000.0, 22365000000.0], '25': [16523000000.0, 19504000000.0, 8873700000.0], '27': [8891600000.0, 6661400000.0, 9394200000.0], '31': [10509000000.0, 12503000000.0, 8572300000.0], '32': [8894700000.0, 8120600000.0, 7208700000.0], '33': [6305400000.0, 10602000000.0, 9527800000.0], '39': [8064900000.0, 5404200000.0, 7059700000.0], '89': [7516000000.0, 10648000000.0, 6237500000.0], '90': [6802000000.0, 8966500000.0, 4328100000.0], '103': [7427500000.0, 6945300000.0, 6389100000.0], '99': [4476000000.0, 8574900000.0, 4000700000.0], '73': [12757000000.0, 15012000000.0, 12776000000.0], '92': [11055000000.0, 15000000000.0, 11368000000.0], '54': [3999500000.0, 6275300000.0, 7133000000.0], '104': [4183300000.0, 11389000000.0, 7009200000.0]}","{'12': 0.24835366476274448, '21': 0.07571793986663267, '25': 0.29913475581453486, '27': 0.14281953346393828, '31': 0.1524262107004699, '32': 0.08533758070807951, '33': 0.2071893611296117, '39': 0.16030952300723944, '89': 0.22779180389179296, '90': 0.2828870461362105, '103': 0.0613070608897019, '99': 0.3612783033232501, '73': 0.07832536224437954, '92': 0.14353324652289468, '54': 0.22786207991155782, '104': 0.3938304528726232}",0.1967564953278538,16
P54727,P54727, UV excision repair protein RAD23 homolog B,RAD23B,"{'12': [2130600000.0, 4307500000.0, 2176400000.0], '21': [996820000.0, 1784900000.0, 1472500000.0], '25': [2502400000.0, 2192700000.0, 1529600000.0], '27': [896780000.0, 430320000.0, 804490000.0], '31': [539150000.0, 630900000.0, 745790000.0], '32': [614940000.0, 456960000.0, 503170000.0], '33': [251270000.0, 527920000.0, 493450000.0], '39': [466310000.0, 448390000.0, 448850000.0], '89': [964270000.0, 584020000.0, 1074500000.0], '90': [1079600000.0, 873500000.0, 459010000.0], '103': [963180000.0, 677970000.0, 905440000.0], '99': [304880000.0, 532670000.0, 321890000.0], '73': [1056100000.0, 1432600000.0, 1318000000.0], '92': [1356700000.0, 665140000.0, 882570000.0], '54': [458100000.0, 473580000.0, 532330000.0], '104': [411130000.0, 404810000.0, 471700000.0]}","{'12': 0.3536748996962495, '21': 0.22849731105321378, '25': 0.1955686157939093, '27': 0.2838569230718137, '31': 0.13237518215493663, '32': 0.12631898644199296, '33': 0.2901757430449767, '39': 0.01835193479489279, '89': 0.24032666754778612, '90': 0.32097062503735607, '103': 0.14503806166367358, '99': 0.2680731976283521, '73': 0.12418461169039022, '92': 0.29824166661449664, '54': 0.06552095472566237, '104': 0.07025224513661191}",0.1975892266310196,16
P0DP25;P0DP24;P0DP23,P0DP25;P0DP24;P0DP23, Calmodulin-3; Calmodulin-2; Calmodulin-1,CALM3;CALM2;CALM1,"{'12': [13420000000.0, 15415000000.0, 14011000000.0], '21': [5336100000.0, 10786000000.0, 8511200000.0], '25': [13635000000.0, 10483000000.0, 10397000000.0], '27': [5649200000.0, 1355100000.0, 9336600000.0], '31': [5800200000.0, 4146100000.0, 4568800000.0], '32': [3912800000.0, 3873200000.0, 2910100000.0], '33': [2007300000.0, 4349700000.0, 3557200000.0], '39': [3175900000.0, 3972200000.0, 2940900000.0], '89': [6189900000.0, 5073900000.0, 6145800000.0], '90': [5007000000.0, 4732700000.0, 2421000000.0], '103': [4171200000.0, 3685600000.0, 3688400000.0], '99': [2195100000.0, 4549400000.0, 1481900000.0], '73': [6306600000.0, 6860900000.0, 6256400000.0], '92': [4307600000.0, 2371600000.0, 3270100000.0], '54': [4603500000.0, 4729000000.0, 4974500000.0], '104': [1756700000.0, 2150500000.0, 2926300000.0]}","{'12': 0.058583859924785396, '21': 0.27219360987192526, '25': 0.13094711889489563, '27': 0.5987864994238566, '31': 0.14502209616217973, '32': 0.130035841477153, '33': 0.2943660973125322, '39': 0.131229129446594, '89': 0.08891769215488661, '90': 0.28612275846405366, '103': 0.05931216382303563, '99': 0.4779782229412542, '73': 0.042303487768955976, '92': 0.23852354699479492, '54': 0.03230833366011491, '104': 0.21331769956116303}",0.1999967598676363,16
P09525,P09525, Annexin A4,ANXA4,"{'12': [2655200000.0, 1026900000.0, 1307400000.0], '21': [1340800000.0, 1820400000.0, 1812600000.0], '25': [1838800000.0, 1996400000.0, 1921300000.0], '27': [1661200000.0, 709730000.0, 731560000.0], '31': [470160000.0, 415570000.0, 489290000.0], '32': [1039900000.0, 682660000.0, 893110000.0], '33': [808170000.0, 872470000.0, 724730000.0], '39': [798470000.0, 789600000.0, 968000000.0], '89': [1441300000.0, 2032300000.0, 1279300000.0], '90': [1015100000.0, 2261700000.0, 583370000.0], '103': [1271300000.0, 1357800000.0, 1524000000.0], '99': [469870000.0, 947340000.0, 552970000.0], '73': [1386300000.0, 2638300000.0, 2441400000.0], '92': [1844200000.0, 2234500000.0, 1798200000.0], '54': [565410000.0, 607260000.0, 735090000.0], '104': [921360000.0, 1240500000.0, 1358300000.0]}","{'12': 0.4273528774013728, '21': 0.1352706612965675, '25': 0.033543073755673745, '27': 0.4288214663650159, '31': 0.06814824082047076, '32': 0.16815476868779664, '33': 0.0754350692033211, '39': 0.09634454107593927, '89': 0.20426306101124553, '90': 0.5530218930055226, '103': 0.07574636558309349, '99': 0.31714295280928956, '73': 0.25504076326492003, '92': 0.09991719357059814, '54': 0.11349717221125576, '104': 0.15730939114970915}",0.200563093200737,16
P63261,P63261," Actin, cytoplasmic 2",ACTG1,"{'12': [184370000000.0, 136100000000.0, 113410000000.0], '21': [96007000000.0, 133540000000.0, 104330000000.0], '25': [99312000000.0, 120870000000.0, 83443000000.0], '27': [79988000000.0, 45474000000.0, 54359000000.0], '31': [51597000000.0, 61983000000.0, 69553000000.0], '32': [54220000000.0, 56968000000.0, 43729000000.0], '33': [36535000000.0, 70636000000.0, 42144000000.0], '39': [49432000000.0, 68517000000.0, 61573000000.0], '89': [76076000000.0, 119610000000.0, 43758000000.0], '90': [65509000000.0, 132380000000.0, 70586000000.0], '103': [74467000000.0, 97158000000.0, 71902000000.0], '99': [38195000000.0, 67930000000.0, 50103000000.0], '73': [91868000000.0, 126750000000.0, 140830000000.0], '92': [63862000000.0, 86756000000.0, 74380000000.0], '54': [27144000000.0, 37420000000.0, 44137000000.0], '104': [36737000000.0, 59293000000.0, 64956000000.0]}","{'12': 0.20459623017023024, '21': 0.14461234285658167, '25': 0.15155109949823653, '27': 0.24411868353617217, '31': 0.12057620228569525, '32': 0.11047106158441762, '33': 0.2999690434187708, '39': 0.13180204109484223, '89': 0.3893907060270866, '90': 0.3396671286673671, '103': 0.139815626961964, '99': 0.23464106467598106, '73': 0.17177351262987392, '92': 0.12475698402477917, '54': 0.19285646288155492, '104': 0.22714475471020254}",0.2017339340639847,16
O75368,O75368, SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,"{'12': [1754300000.0, 2265500000.0, 1724700000.0], '21': [930460000.0, 1246300000.0, 1341100000.0], '25': [837060000.0, 1124000000.0, 830880000.0], '27': [617900000.0, 234030000.0, 159180000.0], '31': [543230000.0, 340310000.0, 442230000.0], '32': [272000000.0, 310080000.0, 245140000.0], '33': [294240000.0, 588880000.0, 540760000.0], '39': [497990000.0, 518740000.0, 502350000.0], '89': [902440000.0, 773910000.0, 722880000.0], '90': [578720000.0, 594180000.0, 315980000.0], '103': [756910000.0, 524440000.0, 602630000.0], '99': [215490000.0, 587960000.0, 459120000.0], '73': [1036200000.0, 910290000.0, 1387300000.0], '92': [722590000.0, 472020000.0, 626020000.0], '54': [620590000.0, 587390000.0, 1279400000.0], '104': [247630000.0, 300770000.0, 311140000.0]}","{'12': 0.12964734660196806, '21': 0.14970936360297857, '25': 0.146935174001391, '27': 0.5961887005764951, '31': 0.18745791556901673, '32': 0.09662442164305106, '33': 0.2719117461874141, '39': 0.017641817469276923, '89': 0.09446375609361378, '90': 0.25722066438928515, '103': 0.15379971057076017, '99': 0.3669861350733783, '73': 0.1816332485649724, '92': 0.17002878635589805, '54': 0.3843558548561145, '104': 0.0970938826259179}",0.2063561577613457,16
O00299,O00299, Chloride intracellular channel protein 1,CLIC1,"{'12': [3760100000.0, 3625300000.0, 1943600000.0], '21': [1949500000.0, 1711400000.0, 1928600000.0], '25': [1122800000.0, 1621800000.0, 889220000.0], '27': [495770000.0, 331210000.0, 683000000.0], '31': [891190000.0, 914520000.0, 689870000.0], '32': [899250000.0, 1003500000.0, 919370000.0], '33': [668000000.0, 1228700000.0, 689790000.0], '39': [621010000.0, 621520000.0, 932540000.0], '89': [1525100000.0, 1824700000.0, 856240000.0], '90': [987540000.0, 3493000000.0, 552680000.0], '103': [1269900000.0, 1384100000.0, 1087100000.0], '99': [496310000.0, 811680000.0, 611430000.0], '73': [1560700000.0, 1528400000.0, 1627500000.0], '92': [1310000000.0, 1420900000.0, 1098200000.0], '54': [430110000.0, 450980000.0, 466770000.0], '104': [534110000.0, 1282700000.0, 1014200000.0]}","{'12': 0.2657416990061228, '21': 0.0577800698659471, '25': 0.2522532286348493, '27': 0.2855343113815625, '31': 0.12123775355570907, '32': 0.048001105665098194, '33': 0.30079356142448227, '39': 0.2023887827835029, '89': 0.2887551714040491, '90': 0.7723494357381259, '103': 0.0980912879951107, '99': 0.20366067115545944, '73': 0.026247635186812508, '92': 0.10488454756743908, '54': 0.03341786885628796, '104': 0.3281371110345637}",0.2118296400784451,16
