Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
Serum albumin,ALB,12,599800000000.0,523170000000.0,476220000000.0,533063333333.33,50934026827.74,0.0955
Serum albumin,ALB,21,338680000000.0,1330900000000.0,728720000000.0,799433333333.33,408146553526.49,0.5105
Serum albumin,ALB,25,770390000000.0,530360000000.0,804890000000.0,701880000000.0,122098035201.23,0.174
Serum albumin,ALB,27,177090000000.0,101490000000.0,300500000000.0,193026666666.67,82023281383.33,0.4249
Serum albumin,ALB,31,248990000000.0,140080000000.0,157430000000.0,182166666666.67,47779172822.01,0.2623
Serum albumin,ALB,32,99090000000.0,111690000000.0,160770000000.0,123850000000.0,26608329522.91,0.2148
Serum albumin,ALB,33,141240000000.0,210810000000.0,192460000000.0,181503333333.33,29439572385.18,0.1622
Serum albumin,ALB,39,271930000000.0,251780000000.0,191810000000.0,238506666666.67,34028807730.44,0.1427
Serum albumin,ALB,89,423500000000.0,237040000000.0,428900000000.0,363146666666.67,89198126039.11,0.2456
Serum albumin,ALB,90,370390000000.0,234170000000.0,198210000000.0,267590000000.0,74158211053.58,0.2771
Serum albumin,ALB,103,235190000000.0,348050000000.0,281670000000.0,288303333333.33,46313034402.37,0.1606
Serum albumin,ALB,99,116710000000.0,157600000000.0,124990000000.0,133100000000.0,17650818677.9,0.1326
Serum albumin,ALB,73,114700000000.0,114450000000.0,145820000000.0,124990000000.0,14729387857.84,0.1178
Serum albumin,ALB,92,391730000000.0,220310000000.0,207240000000.0,273093333333.33,84058314018.04,0.3078
Serum albumin,ALB,54,271530000000.0,235010000000.0,263090000000.0,256543333333.33,15611357688.84,0.0609
Serum albumin,ALB,104,310060000000.0,392840000000.0,398610000000.0,367170000000.0,40451512538.68,0.1102
"Actin, cytoplasmic 2",ACTG1,12,184370000000.0,136100000000.0,113410000000.0,144626666666.67,29590070782.09,0.2046
"Actin, cytoplasmic 2",ACTG1,21,96007000000.0,133540000000.0,104330000000.0,111292333333.33,16094245065.31,0.1446
"Actin, cytoplasmic 2",ACTG1,25,99312000000.0,120870000000.0,83443000000.0,101208333333.33,15338234195.05,0.1516
"Actin, cytoplasmic 2",ACTG1,27,79988000000.0,45474000000.0,54359000000.0,59940333333.33,14632555264.05,0.2441
"Actin, cytoplasmic 2",ACTG1,31,51597000000.0,61983000000.0,69553000000.0,61044333333.33,7360493884.4,0.1206
"Actin, cytoplasmic 2",ACTG1,32,54220000000.0,56968000000.0,43729000000.0,51639000000.0,5704615149.16,0.1105
"Actin, cytoplasmic 2",ACTG1,33,36535000000.0,70636000000.0,42144000000.0,49771666666.67,14929959239.36,0.3
"Actin, cytoplasmic 2",ACTG1,39,49432000000.0,68517000000.0,61573000000.0,59840666666.67,7887122007.14,0.1318
"Actin, cytoplasmic 2",ACTG1,89,76076000000.0,119610000000.0,43758000000.0,79814666666.67,31079089404.65,0.3894
"Actin, cytoplasmic 2",ACTG1,90,65509000000.0,132380000000.0,70586000000.0,89491666666.67,30397377456.32,0.3397
"Actin, cytoplasmic 2",ACTG1,103,74467000000.0,97158000000.0,71902000000.0,81175666666.67,11349626729.06,0.1398
"Actin, cytoplasmic 2",ACTG1,99,38195000000.0,67930000000.0,50103000000.0,52076000000.0,12219168084.07,0.2346
"Actin, cytoplasmic 2",ACTG1,73,91868000000.0,126750000000.0,140830000000.0,119816000000.0,20581215189.26,0.1718
"Actin, cytoplasmic 2",ACTG1,92,63862000000.0,86756000000.0,74380000000.0,74999333333.33,9356690630.54,0.1248
"Actin, cytoplasmic 2",ACTG1,54,27144000000.0,37420000000.0,44137000000.0,36233666666.67,6987896790.56,0.1929
"Actin, cytoplasmic 2",ACTG1,104,36737000000.0,59293000000.0,64956000000.0,53662000000.0,12189041827.26,0.2271
Pyruvate kinase PKM,PKM,12,41286000000.0,30565000000.0,22356000000.0,31402333333.33,7750787931.27,0.2468
Pyruvate kinase PKM,PKM,21,36182000000.0,30938000000.0,25778000000.0,30966000000.0,4247461359.45,0.1372
Pyruvate kinase PKM,PKM,25,12320000000.0,14605000000.0,14550000000.0,13825000000.0,1064432556.19,0.077
Pyruvate kinase PKM,PKM,27,8004400000.0,3456500000.0,12186000000.0,7882300000.0,3564849119.76,0.4523
Pyruvate kinase PKM,PKM,31,17936000000.0,20138000000.0,17016000000.0,18363333333.33,1309880740.97,0.0713
Pyruvate kinase PKM,PKM,32,19763000000.0,16067000000.0,19073000000.0,18301000000.0,1604595899.28,0.0877
Pyruvate kinase PKM,PKM,33,9725200000.0,18050000000.0,11565000000.0,13113400000.0,3570595718.74,0.2723
Pyruvate kinase PKM,PKM,39,9357800000.0,10233000000.0,8477200000.0,9356000000.0,716803478.41,0.0766
Pyruvate kinase PKM,PKM,89,13669000000.0,16121000000.0,7345800000.0,12378600000.0,3696834941.77,0.2986
Pyruvate kinase PKM,PKM,90,10883000000.0,44158000000.0,7021300000.0,20687433333.33,16670908922.7,0.8058
Pyruvate kinase PKM,PKM,103,7121400000.0,18254000000.0,8870300000.0,11415233333.33,4888163250.37,0.4282
Pyruvate kinase PKM,PKM,99,5004800000.0,7367600000.0,5254700000.0,5875700000.0,1059854301.31,0.1804
Pyruvate kinase PKM,PKM,73,15381000000.0,15118000000.0,14612000000.0,15037000000.0,319124844.95,0.0212
Pyruvate kinase PKM,PKM,92,13846000000.0,13774000000.0,11820000000.0,13146666666.67,938555391.13,0.0714
Pyruvate kinase PKM,PKM,54,4285800000.0,6012800000.0,5444500000.0,5247700000.0,718646844.19,0.1369
Pyruvate kinase PKM,PKM,104,5980500000.0,10947000000.0,9902300000.0,8943266666.67,2137964649.43,0.2391
Peptidyl-prolyl cis-trans isomerase A,PPIA,12,37979000000.0,53902000000.0,29651000000.0,40510666666.67,10060972528.65,0.2484
Peptidyl-prolyl cis-trans isomerase A,PPIA,21,19798000000.0,18699000000.0,22365000000.0,20287333333.33,1536115085.39,0.0757
Peptidyl-prolyl cis-trans isomerase A,PPIA,25,16523000000.0,19504000000.0,8873700000.0,14966900000.0,4477119976.8,0.2991
Peptidyl-prolyl cis-trans isomerase A,PPIA,27,8891600000.0,6661400000.0,9394200000.0,8315733333.33,1187649155.08,0.1428
Peptidyl-prolyl cis-trans isomerase A,PPIA,31,10509000000.0,12503000000.0,8572300000.0,10528100000.0,1604758388.88,0.1524
Peptidyl-prolyl cis-trans isomerase A,PPIA,32,8894700000.0,8120600000.0,7208700000.0,8074666666.67,689072518.36,0.0853
Peptidyl-prolyl cis-trans isomerase A,PPIA,33,6305400000.0,10602000000.0,9527800000.0,8811733333.33,1825697399.78,0.2072
Peptidyl-prolyl cis-trans isomerase A,PPIA,39,8064900000.0,5404200000.0,7059700000.0,6842933333.33,1096987378.64,0.1603
Peptidyl-prolyl cis-trans isomerase A,PPIA,89,7516000000.0,10648000000.0,6237500000.0,8133833333.33,1852820567.56,0.2278
Peptidyl-prolyl cis-trans isomerase A,PPIA,90,6802000000.0,8966500000.0,4328100000.0,6698866666.67,1895022603.79,0.2829
Peptidyl-prolyl cis-trans isomerase A,PPIA,103,7427500000.0,6945300000.0,6389100000.0,6920633333.33,424283689.16,0.0613
Peptidyl-prolyl cis-trans isomerase A,PPIA,99,4476000000.0,8574900000.0,4000700000.0,5683866666.67,2053457705.65,0.3613
Peptidyl-prolyl cis-trans isomerase A,PPIA,73,12757000000.0,15012000000.0,12776000000.0,13515000000.0,1058567270.73,0.0783
Peptidyl-prolyl cis-trans isomerase A,PPIA,92,11055000000.0,15000000000.0,11368000000.0,12474333333.33,1790481561.54,0.1435
Peptidyl-prolyl cis-trans isomerase A,PPIA,54,3999500000.0,6275300000.0,7133000000.0,5802600000.0,1322192504.89,0.2279
Peptidyl-prolyl cis-trans isomerase A,PPIA,104,4183300000.0,11389000000.0,7009200000.0,7527166666.67,2964427457.18,0.3938
Heat shock protein beta-1,HSPB1,12,32707000000.0,37181000000.0,23936000000.0,31274666666.67,5501284112.72,0.1759
Heat shock protein beta-1,HSPB1,21,32988000000.0,26468000000.0,26361000000.0,28605666666.67,3099085492.35,0.1083
Heat shock protein beta-1,HSPB1,25,32525000000.0,34112000000.0,19395000000.0,28677333333.33,6595499795.74,0.23
Heat shock protein beta-1,HSPB1,27,3570100000.0,1877400000.0,8092900000.0,4513466666.67,2623682598.1,0.5813
Heat shock protein beta-1,HSPB1,31,10148000000.0,14099000000.0,4803400000.0,9683466666.67,3809102103.59,0.3934
Heat shock protein beta-1,HSPB1,32,10184000000.0,11092000000.0,10543000000.0,10606333333.33,373384817.88,0.0352
Heat shock protein beta-1,HSPB1,33,5059400000.0,8533000000.0,8362000000.0,7318133333.33,1598690600.32,0.2185
Heat shock protein beta-1,HSPB1,39,5907700000.0,3407400000.0,5044700000.0,4786600000.0,1036930319.1,0.2166
Heat shock protein beta-1,HSPB1,89,14617000000.0,8891700000.0,12035000000.0,11847900000.0,2341085194.24,0.1976
Heat shock protein beta-1,HSPB1,90,19970000000.0,21940000000.0,9578100000.0,17162700000.0,5423089087.1,0.316
Heat shock protein beta-1,HSPB1,103,10061000000.0,10487000000.0,10284000000.0,10277333333.33,173977648.63,0.0169
Heat shock protein beta-1,HSPB1,99,5863600000.0,5255000000.0,3842400000.0,4987000000.0,846632686.98,0.1698
Heat shock protein beta-1,HSPB1,73,16304000000.0,16549000000.0,12020000000.0,14957666666.67,2079650665.11,0.139
Heat shock protein beta-1,HSPB1,92,19062000000.0,11158000000.0,12233000000.0,14151000000.0,3500223516.67,0.2473
Heat shock protein beta-1,HSPB1,54,7894600000.0,8325900000.0,12426000000.0,9548833333.33,2042069366.0,0.2139
Heat shock protein beta-1,HSPB1,104,5342100000.0,9622400000.0,9573800000.0,8179433333.33,2006395744.17,0.2453
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,12,14818000000.0,20965000000.0,12919000000.0,16234000000.0,3433979324.34,0.2115
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,21,6887100000.0,15654000000.0,13789000000.0,12110033333.33,3770838165.3,0.3114
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,25,25322000000.0,18984000000.0,19215000000.0,21173666666.67,2934830186.27,0.1386
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,27,8322300000.0,5126800000.0,15192000000.0,9547033333.33,4199368330.54,0.4399
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,31,2600700000.0,3074100000.0,2043000000.0,2572600000.0,421413502.39,0.1638
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,32,3281000000.0,2298900000.0,2073400000.0,2551100000.0,524263337.14,0.2055
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,33,3630200000.0,5126900000.0,4045900000.0,4267666666.67,630826475.52,0.1478
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,39,3534300000.0,3342200000.0,4638200000.0,3838233333.33,571072443.35,0.1488
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,89,9879100000.0,11984000000.0,7032600000.0,9631900000.0,2028944121.13,0.2106
Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,90,6295100000.0,7496300000.0,2946500000.0,5579300000.0,1925174838.81,0.3451
