Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
"Actin, cytoplasmic 2",ACTG1,12,176480000000.0,136190000000.0,154250000000.0,155640000000.0,16477663669.34,0.1059
"Actin, cytoplasmic 2",ACTG1,21,207510000000.0,177330000000.0,158180000000.0,181006666666.67,20306002943.85,0.1122
"Actin, cytoplasmic 2",ACTG1,25,126420000000.0,189660000000.0,158320000000.0,158133333333.33,25817959296.24,0.1633
"Actin, cytoplasmic 2",ACTG1,27,209670000000.0,202780000000.0,108580000000.0,173676666666.67,46116157929.97,0.2655
"Actin, cytoplasmic 2",ACTG1,31,197260000000.0,242440000000.0,246810000000.0,228836666666.67,22399235602.04,0.0979
"Actin, cytoplasmic 2",ACTG1,32,215490000000.0,213040000000.0,218870000000.0,215800000000.0,2390160385.13,0.0111
"Actin, cytoplasmic 2",ACTG1,33,208890000000.0,210010000000.0,173000000000.0,197300000000.0,17188777346.47,0.0871
"Actin, cytoplasmic 2",ACTG1,39,175670000000.0,204410000000.0,220060000000.0,200046666666.67,18382909333.28,0.0919
"Actin, cytoplasmic 2",ACTG1,89,207240000000.0,259300000000.0,145650000000.0,204063333333.33,46451760162.8,0.2276
"Actin, cytoplasmic 2",ACTG1,90,212720000000.0,265080000000.0,250820000000.0,242873333333.33,22102104474.96,0.091
"Actin, cytoplasmic 2",ACTG1,103,249560000000.0,282660000000.0,269920000000.0,267380000000.0,13631854850.56,0.051
"Actin, cytoplasmic 2",ACTG1,99,249570000000.0,251920000000.0,251280000000.0,250923333333.33,991978942.43,0.004
"Actin, cytoplasmic 2",ACTG1,73,280960000000.0,245770000000.0,295940000000.0,274223333333.33,21028460608.32,0.0767
"Actin, cytoplasmic 2",ACTG1,92,159780000000.0,217560000000.0,205990000000.0,194443333333.33,24961653702.34,0.1284
"Actin, cytoplasmic 2",ACTG1,54,154580000000.0,187520000000.0,161110000000.0,167736666666.67,14240679603.01,0.0849
"Actin, cytoplasmic 2",ACTG1,104,188920000000.0,239630000000.0,225950000000.0,218166666666.67,21421348126.47,0.0982
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,12,37042000000.0,34448000000.0,39253000000.0,36914333333.33,1963709132.12,0.0532
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,21,35728000000.0,31590000000.0,35744000000.0,34354000000.0,1954454058.47,0.0569
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,25,43232000000.0,46841000000.0,33072000000.0,41048333333.33,5829387636.98,0.142
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,27,35753000000.0,40255000000.0,40189000000.0,38732333333.33,2106879103.21,0.0544
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,31,38035000000.0,30186000000.0,31655000000.0,33292000000.0,3407005234.32,0.1023
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,32,47062000000.0,37348000000.0,47267000000.0,43892333333.33,4628299207.65,0.1054
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,33,34665000000.0,32756000000.0,30085000000.0,32502000000.0,1878383524.91,0.0578
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,39,30555000000.0,21179000000.0,33121000000.0,28285000000.0,5132739099.8,0.1815
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,89,29217000000.0,37163000000.0,21891000000.0,29423666666.67,6236480275.14,0.212
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,90,31645000000.0,33621000000.0,36845000000.0,34037000000.0,2143173970.23,0.063
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,103,29873000000.0,33286000000.0,31138000000.0,31432333333.33,1408809505.3,0.0448
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,99,49729000000.0,41380000000.0,41416000000.0,44175000000.0,3927298562.63,0.0889
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,73,34519000000.0,34899000000.0,33655000000.0,34357666666.67,520515983.32,0.0151
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,92,30251000000.0,40982000000.0,35368000000.0,35533666666.67,4382478319.65,0.1233
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,54,22349000000.0,20479000000.0,24848000000.0,22558666666.67,1789787758.99,0.0793
Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,104,23774000000.0,44431000000.0,41188000000.0,36464333333.33,9070563464.06,0.2488
Alpha-enolase,ENO1,12,47513000000.0,60721000000.0,46013000000.0,51415666666.67,6608298890.2,0.1285
Alpha-enolase,ENO1,21,61100000000.0,45807000000.0,41217000000.0,49374666666.67,8500180638.6,0.1722
Alpha-enolase,ENO1,25,51659000000.0,57731000000.0,39954000000.0,49781333333.33,7377879385.18,0.1482
Alpha-enolase,ENO1,27,42524000000.0,34725000000.0,24376000000.0,33875000000.0,7433229491.05,0.2194
Alpha-enolase,ENO1,31,50611000000.0,48269000000.0,47219000000.0,48699666666.67,1417867255.97,0.0291
Alpha-enolase,ENO1,32,58173000000.0,50759000000.0,68448000000.0,59126666666.67,7252920806.28,0.1227
Alpha-enolase,ENO1,33,45809000000.0,47701000000.0,44809000000.0,46106333333.33,1199227899.76,0.026
Alpha-enolase,ENO1,39,36148000000.0,27262000000.0,34770000000.0,32726666666.67,3904839504.46,0.1193
Alpha-enolase,ENO1,89,38966000000.0,60732000000.0,29676000000.0,43124666666.67,13015110841.72,0.3018
Alpha-enolase,ENO1,90,47713000000.0,39090000000.0,43324000000.0,43375666666.67,3520514577.29,0.0812
Alpha-enolase,ENO1,103,47607000000.0,51295000000.0,45382000000.0,48094666666.67,2438477165.96,0.0507
Alpha-enolase,ENO1,99,46244000000.0,45073000000.0,35748000000.0,42355000000.0,4696250064.32,0.1109
Alpha-enolase,ENO1,73,41442000000.0,46037000000.0,36287000000.0,41255333333.33,3982608720.7,0.0965
Alpha-enolase,ENO1,92,46481000000.0,58493000000.0,52214000000.0,52396000000.0,4905566837.79,0.0936
Alpha-enolase,ENO1,54,27022000000.0,25908000000.0,27948000000.0,26959333333.33,834004529.7,0.0309
Alpha-enolase,ENO1,104,34313000000.0,40083000000.0,33087000000.0,35827666666.67,3050318599.02,0.0851
Heat shock cognate 71 kDa protein,HSPA8,12,38444000000.0,50184000000.0,40987000000.0,43205000000.0,5042918665.48,0.1167
Heat shock cognate 71 kDa protein,HSPA8,21,37397000000.0,20924000000.0,25616000000.0,27979000000.0,6929538657.08,0.2477
Heat shock cognate 71 kDa protein,HSPA8,25,29612000000.0,29856000000.0,20765000000.0,26744333333.33,4229200423.51,0.1581
Heat shock cognate 71 kDa protein,HSPA8,27,34105000000.0,34064000000.0,45185000000.0,37784666666.67,5232852653.08,0.1385
Heat shock cognate 71 kDa protein,HSPA8,31,35132000000.0,39080000000.0,35913000000.0,36708333333.33,1707062258.84,0.0465
Heat shock cognate 71 kDa protein,HSPA8,32,43300000000.0,42766000000.0,40938000000.0,42334666666.67,1011367830.66,0.0239
