Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
Serum albumin,ALB,12,16661000000.0,14533000000.0,13228000000.0,14807333333.33,1414877222.78,0.0956
Serum albumin,ALB,21,9407700000.0,36970000000.0,20242000000.0,22206566666.67,11337687505.64,0.5106
Serum albumin,ALB,25,21400000000.0,14732000000.0,22358000000.0,19496666666.67,3391752480.49,0.174
Serum albumin,ALB,27,4919200000.0,2819200000.0,8347200000.0,5361866666.67,2278400218.48,0.4249
Serum albumin,ALB,31,6916300000.0,3891200000.0,4373000000.0,5060166666.67,1327141294.5,0.2623
Serum albumin,ALB,32,2752500000.0,3102400000.0,4465900000.0,3440266666.67,739166333.71,0.2149
Serum albumin,ALB,33,3923300000.0,5855800000.0,5346100000.0,5041733333.33,817768656.5,0.1622
Serum albumin,ALB,39,7553700000.0,6993800000.0,5327900000.0,6625133333.33,945333360.37,0.1427
Serum albumin,ALB,89,11764000000.0,6584400000.0,11914000000.0,10087466666.67,2477799030.5,0.2456
Serum albumin,ALB,90,10289000000.0,6504700000.0,5505900000.0,7433200000.0,2060112551.94,0.2772
Serum albumin,ALB,103,6533000000.0,9668100000.0,7824200000.0,8008433333.33,1286511936.29,0.1606
Serum albumin,ALB,99,3242100000.0,4377700000.0,3471900000.0,3697233333.33,490223196.33,0.1326
Serum albumin,ALB,73,3186100000.0,3179200000.0,4050400000.0,3471900000.0,409070971.84,0.1178
Serum albumin,ALB,92,10881000000.0,6119700000.0,5756800000.0,7585833333.33,2334740045.96,0.3078
Serum albumin,ALB,54,7542400000.0,6527900000.0,7308000000.0,7126100000.0,433680581.38,0.0609
Serum albumin,ALB,104,8612900000.0,10912000000.0,11072000000.0,10198966666.67,1123419067.94,0.1102
"Actin, cytoplasmic 2",ACTG1,12,9218300000.0,6805000000.0,5670500000.0,7231266666.67,1479413997.35,0.2046
"Actin, cytoplasmic 2",ACTG1,21,4800400000.0,6677000000.0,5216300000.0,5564566666.67,804725271.27,0.1446
"Actin, cytoplasmic 2",ACTG1,25,4965600000.0,6043600000.0,4172100000.0,5060433333.33,766973742.85,0.1516
"Actin, cytoplasmic 2",ACTG1,27,3999400000.0,2273700000.0,2717900000.0,2997000000.0,731634120.76,0.2441
"Actin, cytoplasmic 2",ACTG1,31,2579900000.0,3099200000.0,3477600000.0,3052233333.33,367986162.18,0.1206
"Actin, cytoplasmic 2",ACTG1,32,2711000000.0,2848400000.0,2186500000.0,2581966666.67,285207647.55,0.1105
"Actin, cytoplasmic 2",ACTG1,33,1826700000.0,3531800000.0,2107200000.0,2488566666.67,746512738.6,0.3
"Actin, cytoplasmic 2",ACTG1,39,2471600000.0,3425900000.0,3078700000.0,2992066666.67,394378095.52,0.1318
"Actin, cytoplasmic 2",ACTG1,89,3803800000.0,5980500000.0,2187900000.0,3990733333.33,1553954470.23,0.3894
"Actin, cytoplasmic 2",ACTG1,90,3275400000.0,6619000000.0,3529300000.0,4474566666.67,1519882022.47,0.3397
"Actin, cytoplasmic 2",ACTG1,103,3723300000.0,4857900000.0,3595100000.0,4058766666.67,567491188.38,0.1398
"Actin, cytoplasmic 2",ACTG1,99,1909700000.0,3396500000.0,2505100000.0,2603766666.67,610980028.77,0.2347
"Actin, cytoplasmic 2",ACTG1,73,4593400000.0,6337600000.0,7041300000.0,5990766666.67,1029003927.21,0.1718
"Actin, cytoplasmic 2",ACTG1,92,3193100000.0,4337800000.0,3719000000.0,3749966666.67,467834531.53,0.1248
"Actin, cytoplasmic 2",ACTG1,54,1357200000.0,1871000000.0,2206900000.0,1811700000.0,349413689.87,0.1929
"Actin, cytoplasmic 2",ACTG1,104,1836900000.0,2964600000.0,3247800000.0,2683100000.0,609421250.04,0.2271
Pyruvate kinase PKM,PKM,12,1251100000.0,926220000.0,677460000.0,951593333.33,234873819.93,0.2468
Pyruvate kinase PKM,PKM,21,1096400000.0,937510000.0,781160000.0,938356666.67,128697583.59,0.1372
Pyruvate kinase PKM,PKM,25,373330000.0,442580000.0,440910000.0,418940000.0,32258345.69,0.077
Pyruvate kinase PKM,PKM,27,242560000.0,104740000.0,369260000.0,238853333.33,108021640.22,0.4523
Pyruvate kinase PKM,PKM,31,543510000.0,610230000.0,515630000.0,556456666.67,39690486.97,0.0713
Pyruvate kinase PKM,PKM,32,598880000.0,486890000.0,577960000.0,554576666.67,48617728.13,0.0877
Pyruvate kinase PKM,PKM,33,294700000.0,546980000.0,350450000.0,397376666.67,108206234.06,0.2723
Pyruvate kinase PKM,PKM,39,283570000.0,310110000.0,256890000.0,283523333.33,21726999.08,0.0766
Pyruvate kinase PKM,PKM,89,414200000.0,488500000.0,222600000.0,375100000.0,112018778.19,0.2986
Pyruvate kinase PKM,PKM,90,329770000.0,1338100000.0,212770000.0,626880000.0,505171697.74,0.8059
Pyruvate kinase PKM,PKM,103,215800000.0,553160000.0,268800000.0,345920000.0,148129590.11,0.4282
Pyruvate kinase PKM,PKM,99,151660000.0,223260000.0,159230000.0,178050000.0,32117329.69,0.1804
Pyruvate kinase PKM,PKM,73,466100000.0,458120000.0,442780000.0,455666666.67,9677111.6,0.0212
Pyruvate kinase PKM,PKM,92,419580000.0,417410000.0,358180000.0,398390000.0,28446561.6,0.0714
Pyruvate kinase PKM,PKM,54,129870000.0,182200000.0,164990000.0,159020000.0,21776713.86,0.1369
Pyruvate kinase PKM,PKM,104,181230000.0,331740000.0,300070000.0,271013333.33,64789569.29,0.2391
Peptidyl-prolyl cis-trans isomerase A,PPIA,12,3797900000.0,5390200000.0,2965100000.0,4051066666.67,1006097252.86,0.2484
Peptidyl-prolyl cis-trans isomerase A,PPIA,21,1979800000.0,1869900000.0,2236500000.0,2028733333.33,153611508.54,0.0757
Peptidyl-prolyl cis-trans isomerase A,PPIA,25,1652300000.0,1950400000.0,887370000.0,1496690000.0,447711997.68,0.2991
Peptidyl-prolyl cis-trans isomerase A,PPIA,27,889160000.0,666140000.0,939420000.0,831573333.33,118764915.51,0.1428
Peptidyl-prolyl cis-trans isomerase A,PPIA,31,1050900000.0,1250300000.0,857230000.0,1052810000.0,160475838.89,0.1524
Peptidyl-prolyl cis-trans isomerase A,PPIA,32,889470000.0,812060000.0,720870000.0,807466666.67,68907251.84,0.0853
Peptidyl-prolyl cis-trans isomerase A,PPIA,33,630540000.0,1060200000.0,952780000.0,881173333.33,182569739.98,0.2072
Peptidyl-prolyl cis-trans isomerase A,PPIA,39,806490000.0,540420000.0,705970000.0,684293333.33,109698737.86,0.1603
Peptidyl-prolyl cis-trans isomerase A,PPIA,89,751600000.0,1064800000.0,623750000.0,813383333.33,185282056.76,0.2278
Peptidyl-prolyl cis-trans isomerase A,PPIA,90,680200000.0,896650000.0,432810000.0,669886666.67,189502260.38,0.2829
Peptidyl-prolyl cis-trans isomerase A,PPIA,103,742750000.0,694530000.0,638910000.0,692063333.33,42428368.92,0.0613
Peptidyl-prolyl cis-trans isomerase A,PPIA,99,447600000.0,857490000.0,400070000.0,568386666.67,205345770.56,0.3613
Peptidyl-prolyl cis-trans isomerase A,PPIA,73,1275700000.0,1501200000.0,1277600000.0,1351500000.0,105856727.07,0.0783
Peptidyl-prolyl cis-trans isomerase A,PPIA,92,1105500000.0,1500000000.0,1136800000.0,1247433333.33,179048156.15,0.1435
Peptidyl-prolyl cis-trans isomerase A,PPIA,54,399950000.0,627530000.0,713300000.0,580260000.0,132219250.49,0.2279
Peptidyl-prolyl cis-trans isomerase A,PPIA,104,418330000.0,1138900000.0,700920000.0,752716666.67,296442745.72,0.3938
Heat shock protein beta-1,HSPB1,12,2336200000.0,2655800000.0,1709700000.0,2233900000.0,392959090.32,0.1759
Heat shock protein beta-1,HSPB1,21,2356300000.0,1890600000.0,1883000000.0,2043300000.0,221346169.31,0.1083
